Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Vegas Golden Knights,20202021,44,31,11,--,2,64,0.727,25,31,0,147,96,3.34,2.18,17.4,85.2,16.7,87.8,32.3,27.3,49.8
Colorado Avalanche,20202021,43,30,9,--,4,64,0.744,27,30,0,154,100,3.58,2.33,23.6,82.7,22.4,83.5,34.8,25.6,51.8
Carolina Hurricanes,20202021,43,29,10,--,4,62,0.721,21,25,4,136,102,3.16,2.37,27.9,84.1,26.4,86.2,32.6,28.1,54.2
Washington Capitals,20202021,46,29,13,--,4,62,0.674,24,27,2,161,139,3.5,3.02,27.6,83.5,22.1,84.9,28.7,29.4,48.8
Florida Panthers,20202021,45,28,12,--,5,61,0.678,20,27,1,142,121,3.16,2.69,21.9,80,20.6,81.5,34,30.2,50.1
Toronto Maple Leafs,20202021,45,28,12,--,5,61,0.678,22,27,1,146,120,3.24,2.67,21.9,76.1,18,77.8,31.1,28.2,51.7
Tampa Bay Lightning,20202021,44,29,13,--,2,60,0.682,24,28,1,148,114,3.36,2.59,25.2,82.8,23.7,84.1,30.2,28.6,49.8
New York Islanders,20202021,45,28,13,--,4,60,0.667,20,24,4,123,104,2.73,2.31,17.1,82.1,17.1,83.9,29.2,28,51
Pittsburgh Penguins,20202021,45,28,14,--,3,59,0.656,21,25,3,149,125,3.31,2.78,22.5,76.7,20.2,80.5,30,29.6,49.3
Minnesota Wild,20202021,43,27,13,--,3,57,0.663,22,26,1,131,114,3.05,2.65,16.9,84.1,15.4,85.5,28.3,30.7,46.6
Winnipeg Jets,20202021,45,27,15,--,3,57,0.633,21,27,0,144,118,3.2,2.62,26.1,80.3,24.6,82,29.6,30.8,49.5
Boston Bruins,20202021,43,25,12,--,6,56,0.651,18,21,4,121,108,2.81,2.51,22,85.7,18.2,91.2,32.3,27.6,55.6
Edmonton Oilers,20202021,43,26,15,--,2,54,0.628,24,26,0,137,120,3.19,2.79,27,79.5,25.6,81.2,29.6,31,49.8
New York Rangers,20202021,45,23,16,--,6,52,0.578,20,22,1,150,116,3.33,2.58,20.8,85.1,18.2,90.3,29.2,28.9,44.7
Nashville Predators,20202021,46,24,21,--,1,49,0.533,16,19,5,116,130,2.52,2.83,18.9,74.8,17.4,77.6,29.6,31,51.6
Chicago Blackhawks,20202021,45,21,19,--,5,47,0.522,14,19,2,125,137,2.78,3.04,23.7,74.8,20.1,76.4,29.3,33,46.8
Philadelphia Flyers,20202021,45,20,18,--,7,47,0.522,13,18,2,126,158,2.8,3.51,19.3,73.7,15.7,73.7,29.8,29.2,53.2
Montréal Canadiens,20202021,42,19,14,--,9,47,0.56,17,18,1,124,116,2.95,2.76,19.1,77.2,17.4,83.1,32.2,28,48.7
Dallas Stars,20202021,43,17,14,--,12,46,0.535,15,16,1,121,103,2.81,2.4,23.9,78.7,21.5,81.2,29.4,27.2,51.1
Arizona Coyotes,20202021,45,20,20,--,5,45,0.5,16,17,3,118,139,2.62,3.09,20,79.7,17.3,81.2,26.6,30.8,47.7
St. Louis Blues,20202021,43,19,18,--,6,44,0.512,13,17,2,122,133,2.84,3.09,20.2,75.7,20.2,78.7,29.9,29.9,53.2
Calgary Flames,20202021,44,19,22,--,3,41,0.466,16,18,1,115,128,2.61,2.91,20,81.2,17.1,82.6,29.9,29,50.2
San Jose Sharks,20202021,44,18,22,--,4,40,0.455,12,13,5,113,147,2.57,3.34,16.1,80.7,12.9,83.5,30,31.3,48.5
Columbus Blue Jackets,20202021,46,15,22,--,9,39,0.424,11,13,2,112,151,2.43,3.28,13.7,78.6,11.8,83,28.8,31.8,45.9
Detroit Red Wings,20202021,46,16,24,--,6,38,0.413,14,15,1,102,144,2.22,3.13,11.4,77.1,9.1,77.1,27.6,31,50.2
Los Angeles Kings,20202021,42,16,20,--,6,38,0.452,14,15,1,113,126,2.69,3,21.4,84.4,19.3,86.1,29.6,31.3,51.4
Vancouver Canucks,20202021,38,17,18,--,3,37,0.487,11,14,3,100,121,2.63,3.18,19.6,78.5,16.8,80.8,30,33.9,52.3
Anaheim Ducks,20202021,46,14,25,--,7,35,0.38,9,13,1,102,145,2.22,3.15,10.7,78.8,6.8,80.3,26.9,31.2,51.2
Ottawa Senators,20202021,45,15,26,--,4,34,0.378,11,13,2,120,163,2.67,3.62,16.2,76.8,12.7,79.7,30.8,32.5,48.2
New Jersey Devils,20202021,44,14,24,--,6,34,0.386,11,14,0,109,146,2.48,3.32,12.9,70.2,10.5,71,29.6,30.8,47.4
Buffalo Sabres,20202021,45,12,26,--,7,31,0.344,9,9,3,108,151,2.4,3.36,21.4,78.3,19.6,81.7,27.8,32.8,50.3
